type,output_path,prompt,width,height,transparent
dante,public/assets/dante/hero/portrait.png,中世纪意大利诗人但丁，五十五岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven，白色亚麻内帽coif贴头包裹双颊沿下颌系带，外罩红色尖顶连颈头巾帽，white linen coif under red cappuccio hood，头戴月桂冠，深红长袍，侧面半身像，手持书卷，经典但丁像构图，庄重,768,1280,true
dante,public/assets/dante/hero/youth/standing.png,中世纪意大利青年诗人但丁，约二十岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven，白色亚麻内帽coif贴头包裹双颊沿下颌系带，外罩红色尖顶连颈头巾帽，white linen coif under red cappuccio hood（青年面容清瘦俊朗），绯红长袍lucco，全身立绘，含双脚，露出鞋履，站立姿，挺拔沉静,768,1280,true
dante,public/assets/dante/hero/youth/gazing.png,中世纪意大利青年诗人但丁，十八岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven，白色亚麻内帽coif贴头包裹双颊沿下颌系带，外罩红色尖顶连颈头巾帽，white linen coif under red cappuccio hood（青年面容），绯红长袍，全身立绘，含双脚，露出鞋履，站于桥头凝望姿，右手抚胸，神情震动痴迷,768,1280,true
dante,public/assets/dante/hero/youth/armored.png,中世纪意大利青年但丁，二十四岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven（青年面容），头戴锁子甲护颈头巾露出面部，锁子甲外罩红色轻骑兵战袍，持骑枪，全身立绘，含双脚，露出鞋履，站立戒备姿，坎帕尔迪诺战役,768,1280,true
dante,public/assets/dante/hero/citizen/robe.png,中世纪意大利诗人但丁，三十五岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven，白色亚麻内帽coif贴头包裹双颊沿下颌系带，外罩红色尖顶连颈头巾帽，white linen coif under red cappuccio hood，佛罗伦萨执政官深红官袍配白色头巾，手持卷轴，全身立绘，含双脚，露出鞋履，站立姿，威仪初具,768,1280,true
dante,public/assets/dante/hero/citizen/signing.png,中世纪意大利诗人但丁，三十五岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven，白色亚麻内帽coif贴头包裹双颊沿下颌系带，外罩红色尖顶连颈头巾帽，white linen coif under red cappuccio hood，深红官袍，执羽毛笔低头签署文书姿，眉头紧锁，内心挣扎，半身立绘,768,1280,true
dante,public/assets/dante/hero/exile/cloak.png,中世纪意大利流亡诗人但丁，四十余岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven，白色亚麻内帽coif贴头包裹双颊沿下颌系带，外罩红色尖顶连颈头巾帽，white linen coif under red cappuccio hood（面容清癯风霜），深褐色旅行斗篷风尘仆仆，拄木杖行路姿，全身立绘，含双脚，露出鞋履,768,1280,true
dante,public/assets/dante/hero/exile/writing.png,中世纪意大利流亡诗人但丁，四十余岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven，白色亚麻内帽coif贴头包裹双颊沿下颌系带，外罩红色尖顶连颈头巾帽，white linen coif under red cappuccio hood，半旧深色长袍，烛光下执羽笔伏案书写姿，眼中有火，半身立绘,768,1280,true
dante,public/assets/dante/hero/exile/bitter.png,中世纪意大利流亡诗人但丁，四十余岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven，白色亚麻内帽coif贴头包裹双颊沿下颌系带，外罩红色尖顶连颈头巾帽，white linen coif under red cappuccio hood，深色斗篷，抱臂侧身而立，嘴角向下，冷峻侧影，全身立绘，含双脚，露出鞋履,768,1280,true
dante,public/assets/dante/hero/exile/refusing.png,中世纪意大利诗人但丁，五十岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven，白色亚麻内帽coif贴头包裹双颊沿下颌系带，外罩红色尖顶连颈头巾帽，white linen coif under red cappuccio hood（鬓角花白），深色长袍，昂首挺立，一手按在案上信纸，凛然不可犯，全身立绘，含双脚，露出鞋履,768,1280,true
dante,public/assets/dante/hero/old/laurel.png,中世纪意大利诗人但丁，五十五岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven，白色亚麻内帽coif贴头包裹双颊沿下颌系带，外罩红色尖顶连颈头巾帽，white linen coif under red cappuccio hood（面容苍老深刻），头戴月桂冠，深红长袍，手持书卷，侧身而立，经典但丁像，全身立绘，含双脚，露出鞋履,768,1280,true
dante,public/assets/dante/hero/old/dying.png,中世纪意大利诗人但丁，五十六岁，消瘦长脸，subtle aquiline nose，眉弓突出，眼窝深陷，目光沉郁，双颊微陷，颧骨高，下颌方长，面部无须 clean-shaven（面容苍老平静），只戴白色亚麻内帽无红帽，白色寝衣，病榻半卧姿，面容安详，手搭书稿，半身,768,1280,true
npc,public/assets/dante/npcs/boccaccio.png,中世纪意大利学者薄伽丘，六十岁，体态圆润和蔼，深色学者长袍软帽，手持摊开讲义，睿智幽默微笑，全身立绘，含双脚，露出鞋履，站立姿,768,1280,true
npc,public/assets/dante/npcs/beatrice_young.png,中世纪佛罗伦萨少女贝雅特丽切，十八岁，金发白色长裙，颔首浅笑致意姿，圣洁温柔，全身立绘，含双脚，露出鞋履，站立姿,768,1280,true
npc,public/assets/dante/npcs/beatrice_paradiso.png,中世纪贵妇贝雅特丽切成年像（与少女同脸），白色面纱，绿色斗篷，火红长裙，头戴橄榄枝冠冕，目光庄严慈悲，全身立绘，含双脚，露出鞋履，站立姿,768,1280,true
